,Buyer,Listing,priceInWei,Seller,Block Sold,BRS,Collateral,XP,Aavegotchi ID,Kinship,MRS,Name,Staked Amount,NRG,AGG,SPK,BRN,EYS,EYC,Body,Face,Eyes,Head,Left Hand,Right Hand,Pet,Background,Naked,Body Item,Face Item,Eyes Item,Head Item,Left Hand Item,Right Hand Item,Pet Item,Background Item
0,0x0bb75bef057da63a0ae4b25fe9adafd35cd92b87,86802,1200000000000000000000,0xdf14100b76a5b5fd46fba22b7ac124919cffc92a,1624623512,527,maTUSD,90,8424,72,551,Archangel Azrael,100000000000000000000,78,87,96,95,66,99,25,157,0,42,130,130,0,0,False,Thaave Suit,Lil Pump Goatee,NaN,Eagle Mask,Fireball,Fireball,NaN,NaN
1,0xffea5a2cfaf1aafbb87a1fe4eed5413da45c30a0,77452,899000000000000000000,0xf0cc6c3e0122748388d8fb33a38ee876339b447b,1624614999,524,maTUSD,20,7853,3,524,THC,26000000000000000000,76,91,98,80,75,98,0,0,0,0,0,0,0,0,True,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0xffea5a2cfaf1aafbb87a1fe4eed5413da45c30a0,86748,2099000000000000000000,0x7121cbda61e025eb6639cd797f63aad30f270680,1624606152,536,maUSDT,200,5507,167,552,Imp,100000000,88,32,2,93,6,92,135,140,0,136,134,0,0,0,False,Polygon Shirt,Elf Ears,NaN,Polygon Cap,L2 Sign,NaN,NaN,NaN
3,0xcc84cc9462e4f1f45597c584123ee31cd7e5864b,72681,699000000000000000000,0x531111cafba1cceab2dd39f5891edc4bd684ae91,1624598039,481,maUSDT,0,8903,9,481,GoLuck,25010000,55,55,86,6,87,99,0,0,0,0,0,0,0,0,True,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,0xf09d1acbf092ec47970a2aa9e16bc658b2ecf15e,86076,600000000000000000000,0x0bb75bef057da63a0ae4b25fe9adafd35cd92b87,1624597285,477,maAAVE,0,3990,130,485,BitcoinWizard,77639751552795025,18,68,45,86,87,4,109,0,66,108,123,96,0,0,False,Rasta Shirt,NaN,Wizard Visor,Rasta Hat,Apple Juice,Water bottle,NaN,NaN
5,0xf09d1acbf092ec47970a2aa9e16bc658b2ecf15e,81996,580000000000000000000,0x2a2e250886dae064396552b3f1ffa3f4ec8aefab,1624597261,443,maUSDT,0,3391,10,457,Ironman,13799370,50,5,76,14,78,54,95,0,66,94,96,0,0,0,False,Track Shorts,NaN,Wizard Visor,Sweatband,Water bottle,NaN,NaN,NaN
6,0xf09d1acbf092ec47970a2aa9e16bc658b2ecf15e,86771,570000000000000000000,0x7f73d6242d5731e89d0d3a2c3e7dbd3795b5da8d,1624597203,494,maUSDC,40,6401,21,494,MOONFACE,25999172,29,97,83,99,70,69,0,0,0,0,0,0,0,0,True,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,0xf09d1acbf092ec47970a2aa9e16bc658b2ecf15e,7249,550000000000000000000,0x7e7c15ea104e49036cce3370eaac465a18414e13,1624597173,442,maUSDT,0,2111,33,442,Ghimli,20000000,68,59,8,93,46,27,0,0,0,0,0,0,0,0,True,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,0x5c2acae2bfbf75b7a2f045dc7f4326bc4f0b048d,86669,719000000000000000000,0x38e481367e0c50f4166ad2a1c9fde0e3c662cfba,1624596943,513,maYFI,115,5505,114,513,,800000000000000,42,90,84,92,93,8,0,0,0,0,0,0,0,0,True,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,0x4e7bf3694962fc482a16d60fd78f99db9c4c52b0,63909,700000000000000000000,0x3abb7fa06b64ee2059fd53244242f0baa90fd0a6,1624585477,437,maWETH,5,9081,16,441,Slavik,16863417982155110,70,96,67,65,76,42,68,0,0,67,96,0,0,0,False,Farmer Jeans,NaN,NaN,Straw Hat,Water bottle,NaN,NaN,NaN
10,0x8560f3aa7c2522bfeabca88bb8f5f55efe9611fe,85776,1200000000000000000000,0x4ac157171c43cf4091ab5fc37a13655d54fa4a5f,1624568956,516,maDAI,235,9652,42,516,Tweety,25000000000000000000,97,22,72,98,99,67,0,0,0,0,0,0,0,0,True,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,0x636db7553dfb9c87dce1a5edf117edcaff1b650a,86754,990000000000000000000,0x52cc79276ee6f36ad9cb1a4504a6c6446b8a3699,1624533203,530,maYFI,100,2095,92,542,Beautiful,3200000000000000,63,12,89,4,91,0,22,0,0,21,23,0,0,0,False,Captain Aave Suit,NaN,NaN,Captain Aave Mask,Captain Aave Shield,NaN,NaN,NaN
12,0xc5592b6e87cd2195bb65a73aaa9f83b158578fa1,86676,699000000000000000000,0x38e481367e0c50f4166ad2a1c9fde0e3c662cfba,1624529601,517,maUSDC,160,2688,141,529,Nearly Headless Nick,25000000,93,5,80,95,38,11,138,0,0,39,134,64,0,0,False,Snapshot Shirt,NaN,NaN,Foxy Mask,L2 Sign,Common Wizard Staff,NaN,NaN
13,0xd5fcacd86bfff724ee9b7432607b8d2b8bbce715,85853,630000000000000000000,0xc5592b6e87cd2195bb65a73aaa9f83b158578fa1,1624527985,483,maDAI,65,8796,86,497,Minion,25000000000000000000,97,53,99,13,85,57,22,0,117,21,20,20,0,0,False,Captain Aave Suit,NaN,Cool shades,Captain Aave Mask,Aave Plush,Aave Plush,NaN,NaN
14,0x26cf02f892b04af4cf350539ce2c77fcf79ec172,86687,1185000000000000000000,0x38e481367e0c50f4166ad2a1c9fde0e3c662cfba,1624511988,533,maTUSD,200,5516,144,547,Slippin Jimmy,100000000000000000000,96,47,0,98,11,94,138,0,0,139,137,0,0,0,False,Snapshot Shirt,NaN,NaN,Snapshot Cap,Vote Sign,NaN,NaN,NaN
15,0x26cf02f892b04af4cf350539ce2c77fcf79ec172,86678,1249000000000000000000,0x38e481367e0c50f4166ad2a1c9fde0e3c662cfba,1624511930,533,maWETH,200,2674,150,533,@GotchiStats,68640000000000000,77,84,0,98,13,83,0,0,0,0,0,0,0,0,True,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,0xdccede7fc9210649eb6e593aeb351f89adb92831,86589,570000000000000000000,0x05070f1b87f8a8828eb596be7ca64ae787341996,1624510818,449,maAAVE,70,6133,101,465,Kafka,39480977278818221,50,79,66,20,86,83,78,18,117,4,38,20,0,0,False,Black Jeans,Aave Hero Mask,Cool shades,Snow Camo Hat,32 ETH Coin,Aave Plush,NaN,NaN
17,0x830437c8d234c61ae6bffbc11f2b885e6e934554,86313,1790000000000000000000,0x38da63b6c77dfabaa6523ccd00f869087f637999,1624504638,511,maWETH,105,8081,61,527,Polygonist,57200000000000000,96,5,87,92,63,73,135,140,0,136,134,141,0,0,False,Polygon Shirt,Elf Ears,NaN,Polygon Cap,L2 Sign,Gemstone Ring,NaN,NaN
18,0x830437c8d234c61ae6bffbc11f2b885e6e934554,86700,2500000000000000000000,0x43ff4c088df0a425d1a519d3030a1a3dfff05cfd,1624504592,524,maUSDT,190,3372,169,570,EYE COLOR 99,25000207,94,86,67,85,87,99,112,157,57,111,58,6,152,0,False,Hazmat Suit,Lil Pump Goatee,Aagent Shades,Hazmat Hood,Aagent Pistol,M67 Grenade,Uncommon Rofl,NaN
19,0x26cf02f892b04af4cf350539ce2c77fcf79ec172,86688,1229000000000000000000,0x38e481367e0c50f4166ad2a1c9fde0e3c662cfba,1624492532,536,maWETH,200,5514,146,550,Deenoswap,68640000000000000,99,5,67,95,88,87,135,0,0,136,134,0,0,0,False,Polygon Shirt,NaN,NaN,Polygon Cap,L2 Sign,NaN,NaN,NaN
20,0x498a885d671eb3c4d17df8f868768e928b29cbda,86574,799000000000000000000,0xeb0dd47b39193610f93094d0c3429bb13a978835,1624487073,517,maDAI,0,7304,58,525,Moonspell,25010000000000000000,92,92,91,74,83,79,2,0,0,1,3,3,0,0,False,Camo Pants,NaN,NaN,Camo Hat,MK2 Grenade,MK2 Grenade,NaN,NaN
21,0xffea5a2cfaf1aafbb87a1fe4eed5413da45c30a0,86661,915000000000000000000,0x38e481367e0c50f4166ad2a1c9fde0e3c662cfba,1624481439,513,maWETH,200,5524,162,513,Stanley Kubrick,30000000000000000,80,99,20,70,6,13,0,0,0,0,0,0,0,0,True,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,0xffea5a2cfaf1aafbb87a1fe4eed5413da45c30a0,86695,890000000000000000000,0x7121cbda61e025eb6639cd797f63aad30f270680,1624480935,508,maDAI,360,2716,244,524,Clockwork Orange,25000000000000000000,94,11,41,68,2,97,11,0,0,59,148,83,0,0,False,Link Mess Dress,NaN,NaN,Aagent Fedora Hat,Royal Scepter,Sushi Knife,NaN,NaN
23,0x4e7bf3694962fc482a16d60fd78f99db9c4c52b0,84902,525000000000000000000,0xa7f41291785211ab3907e1b05dfcf35f64012df7,1624471503,492,maDAI,40,2691,64,492,Daibolical,25000000000000000000,1,79,73,78,34,93,0,0,0,0,0,0,0,0,True,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,0xfeb7da1823d9375e285ebc9d4083250bd3847c36,86148,559000000000000000000,0x498a885d671eb3c4d17df8f868768e928b29cbda,1624468405,494,maLINK,60,9060,77,512,PASSIVE JOJO,1000000000000000000,64,99,20,14,71,90,88,146,36,87,141,123,152,0,False,Miner Jeans,Imperial Moustache,ETH Logo Glasses,Miner Helmet,Gemstone Ring,Apple Juice,Uncommon Rofl,NaN
25,0x82131e86d080312e13605aada6538a94df5b41a5,86686,1225000000000000000000,0x38e481367e0c50f4166ad2a1c9fde0e3c662cfba,1624468193,537,maYFI,200,5511,146,537,Positive,3290000000000000,95,89,24,93,11,91,0,0,0,0,0,0,0,0,True,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,0x7121cbda61e025eb6639cd797f63aad30f270680,86689,1199000000000000000000,0x38e481367e0c50f4166ad2a1c9fde0e3c662cfba,1624467029,536,maUSDT,200,5507,167,552,Imp,100000000,88,32,2,93,6,92,135,140,0,136,134,0,0,0,False,Polygon Shirt,Elf Ears,NaN,Polygon Cap,L2 Sign,NaN,NaN,NaN
27,0x8560f3aa7c2522bfeabca88bb8f5f55efe9611fe,86675,725000000000000000000,0x38e481367e0c50f4166ad2a1c9fde0e3c662cfba,1624464401,517,maWETH,200,2675,143,523,Wandering beast,17160000000000000,82,96,95,33,75,97,95,0,0,147,0,0,0,0,False,Track Shorts,NaN,NaN,Tiny Crown,NaN,NaN,NaN,NaN
28,0xc5592b6e87cd2195bb65a73aaa9f83b158578fa1,86077,1300000000000000000000,0x0bb75bef057da63a0ae4b25fe9adafd35cd92b87,1624464085,525,maYFI,40,7443,180,551,Sutchi,797702616464575,27,85,89,85,99,89,81,146,0,80,6,6,0,0,False,Sushi Coat,Imperial Moustache,NaN,Sushi Bandana,M67 Grenade,M67 Grenade,NaN,NaN
29,0x18bfff508960710fee296502de84667c7f4e88cf,86606,740000000000000000000,0xf53540a33fbb912b32e13642157b69fecc2ae84c,1624463103,512,maLINK,65,3356,185,520,VietNam Blue Boy,1010000000000000000,33,92,91,81,89,87,2,0,0,1,3,69,0,0,False,Camo Pants,NaN,NaN,Camo Hat,MK2 Grenade,Pitchfork,NaN,NaN
